City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,hay river,60.82,-115.79,17.6,61,75,19.46,CA,1573252977
88,labuhan,-2.54,115.51,80.58,74,1,1.01,ID,1573252977
89,zhigansk,66.77,123.37,-14.46,92,70,13.58,RU,1573252977
90,praia da vitoria,38.73,-27.07,62.6,82,75,2.84,PT,1573252463
91,meulaboh,4.14,96.13,79.34,80,70,5.68,ID,1573252403
92,komsomolets,52.77,41.29,37.24,96,15,2.21,RU,1573252978
93,port alfred,-33.59,26.89,59.0,81,97,5.08,ZA,1573252414
94,drakino,54.04,43.26,35.49,89,95,3.89,RU,1573252978
95,kapaa,22.08,-159.32,80.6,57,1,4.7,US,1573252404
96,torbay,47.66,-52.73,48.99,100,90,21.92,CA,1573252400
97,victoria,5.28,115.24,77.0,88,75,3.36,BN,1573252393
98,retiro,-36.06,-71.77,80.6,28,52,9.17,CL,1573252978
99,cururupu,-1.82,-44.87,76.08,90,36,3.83,BR,1573252979
100,bose,45.46,8.01,46.99,93,88,6.93,IT,1573252979
101,vardo,39.62,-77.74,37.4,47,20,8.05,US,1573252405
102,saint-pierre,48.95,4.24,37.4,100,75,4.7,FR,1573252979
103,mar del plata,-46.43,-67.52,48.52,69,0,16.11,AR,1573252404
104,nouadhibou,20.93,-17.03,66.2,82,89,12.75,MR,1573252435
105,vanavara,60.35,102.28,28.83,91,100,12.26,RU,1573252488
106,alamogordo,32.9,-105.96,61.0,54,1,5.82,US,1573252802
107,alofi,-19.06,-169.92,82.4,69,75,10.29,NU,1573252314
108,khatanga,71.98,102.47,-8.56,93,100,19.3,RU,1573252406
109,san,13.3,-4.9,86.95,32,13,9.35,ML,1573252850
110,hovd,63.83,10.7,28.0,73,40,5.82,NO,1573252980
111,saint-martin-de-crau,43.64,4.81,48.2,87,74,4.7,FR,1573252980
112,oum hadjer,13.3,19.7,79.57,13,0,9.28,TD,1573252980
113,namatanai,-3.66,152.44,84.54,72,92,8.88,PG,1573252980
114,cam ranh,11.92,109.15,78.8,65,75,9.17,VN,1573252424
115,nemuro,43.32,145.57,39.4,60,0,15.17,JP,1573252981
116,sola,-3.17,33.8,70.68,68,30,4.52,TZ,1573252981
117,evensk,61.92,159.24,22.87,62,100,14.61,RU,1573252981
118,port-de-bouc,43.4,4.98,48.2,87,74,4.7,FR,1573252981
119,price,39.6,-110.81,59.0,18,1,3.36,US,1573252981
120,ballina,54.11,-9.15,45.0,90,98,11.99,IE,1573252982
121,miandrivazo,-19.53,45.46,80.65,52,32,1.83,MG,1573252437
122,louis trichardt,-23.04,29.91,57.2,89,100,5.17,ZA,1573252982
123,fortuna,40.6,-124.16,66.99,82,75,8.05,US,1573252394
124,kavaratti,10.57,72.64,81.23,72,20,7.16,IN,1573252467
125,zitlala,17.69,-99.19,64.44,73,0,4.36,MX,1573252982
126,zeya,53.74,127.27,0.82,80,0,1.86,RU,1573252982
127,lorengau,-2.02,147.27,83.57,76,100,8.99,PG,1573252400
128,gallup,35.53,-108.74,64.4,18,1,3.36,US,1573252915
129,gambo,4.65,22.26,68.52,95,100,3.02,CF,1573252983
130,moroto,2.53,34.66,72.14,67,15,9.17,UG,1573252983
131,mizdah,31.45,12.98,58.82,52,40,5.23,LY,1573252983
132,sinnamary,5.38,-52.96,82.36,84,8,18.34,GF,1573252984
133,ugoofaaru,5.67,73.0,81.81,78,63,10.74,MV,1573252984
134,leningradskiy,69.38,178.42,19.67,81,0,10.31,RU,1573252466
135,klaksvik,62.23,-6.59,37.4,68,100,16.11,FO,1573252435
136,ampanihy,-24.69,44.75,66.22,86,0,2.73,MG,1573252984
137,yulara,-25.24,130.99,69.8,32,0,14.99,AU,1573252415
138,dikson,73.51,80.55,-2.1,97,94,11.34,RU,1573252398
